commodityName,stat_year,market_month,textbox2,textbox3,Textbox9,Textbox13,Textbox11
"Strawberries, import value and volume history by market year (Fresh)",2022,Jan,"102,270","210,471,861",2.06,"102,270","210,471,861"
"Strawberries, import value and volume history by market year (Fresh)",2022,Feb,"102,849","209,887,632",2.04,"205,120","420,359,493"
"Strawberries, import value and volume history by market year (Fresh)",2022,Mar,"14,941","11,513,374",0.77,"205,120","420,359,493"
"Strawberries, import value and volume history by market year (Fresh)",2022,Apr,"18,632","13,333,787",0.72,"205,120","420,359,493"
"Strawberries, import value and volume history by market year (Fresh)",2022,May,"10,349","4,872,587",0.47,"205,120","420,359,493"
"Strawberries, import value and volume history by market year (Fresh)",2022,Jun,"7,893","3,632,342",0.46,"205,120","420,359,493"
"Strawberries, import value and volume history by market year (Fresh)",2022,Jul,"1,543","770,745",0.50,"205,120","420,359,493"
"Strawberries, import value and volume history by market year (Fresh)",2022,Aug,95,"116,004",1.22,"205,120","420,359,493"
"Strawberries, import value and volume history by market year (Fresh)",2022,Sep,28,"35,483",1.29,"205,120","420,359,493"
"Strawberries, import value and volume history by market year (Fresh)",2022,Oct,236,"421,566",1.79,"205,120","420,359,493"
"Strawberries, import value and volume history by market year (Fresh)",2022,Nov,"2,361","4,171,914",1.77,"205,120","420,359,493"
"Strawberries, import value and volume history by market year (Fresh)",2022,Dec,"1,675","1,684,341",1.01,"205,120","420,359,493"
"Strawberries, import value and volume history by market year (Fresh)",2021,Jan,"87,408","188,620,318",2.16,"87,408","188,620,318"
"Strawberries, import value and volume history by market year (Fresh)",2021,Feb,"84,819","207,729,514",2.45,"172,227","396,349,832"
"Strawberries, import value and volume history by market year (Fresh)",2021,Mar,"92,297","199,598,905",2.16,"264,523","595,948,737"
"Strawberries, import value and volume history by market year (Fresh)",2021,Apr,"76,491","120,885,587",1.58,"341,014","716,834,324"
"Strawberries, import value and volume history by market year (Fresh)",2021,May,"34,865","45,609,494",1.31,"375,880","762,443,818"
"Strawberries, import value and volume history by market year (Fresh)",2021,Jun,"34,871","25,307,882",0.73,"410,751","787,751,700"
"Strawberries, import value and volume history by market year (Fresh)",2021,Jul,"11,983","9,058,075",0.76,"422,734","796,809,775"
"Strawberries, import value and volume history by market year (Fresh)",2021,Aug,"2,333","2,478,551",1.06,"425,067","799,288,326"
"Strawberries, import value and volume history by market year (Fresh)",2021,Sep,"1,342","1,624,591",1.21,"426,408","800,912,917"
"Strawberries, import value and volume history by market year (Fresh)",2021,Oct,"9,683","29,787,253",3.08,"436,092","830,700,170"
"Strawberries, import value and volume history by market year (Fresh)",2021,Nov,"32,309","92,472,955",2.86,"468,401","923,173,125"
"Strawberries, import value and volume history by market year (Fresh)",2021,Dec,"61,547","141,528,095",2.30,"529,948","1,064,701,220"
"Strawberries, import value and volume history by market year (Fresh)",2020,Jan,"78,236","165,717,805",2.12,"78,236","165,717,805"
"Strawberries, import value and volume history by market year (Fresh)",2020,Feb,"77,350","169,539,601",2.19,"155,586","335,257,406"
"Strawberries, import value and volume history by market year (Fresh)",2020,Mar,"64,977","141,163,712",2.17,"220,563","476,421,118"
"Strawberries, import value and volume history by market year (Fresh)",2020,Apr,"54,465","83,382,948",1.53,"275,028","559,804,066"
"Strawberries, import value and volume history by market year (Fresh)",2020,May,"33,545","32,419,031",0.97,"308,573","592,223,097"
"Strawberries, import value and volume history by market year (Fresh)",2020,Jun,"17,159","15,648,867",0.91,"325,732","607,871,964"
"Strawberries, import value and volume history by market year (Fresh)",2020,Jul,"3,434","2,988,585",0.87,"329,167","610,860,549"
"Strawberries, import value and volume history by market year (Fresh)",2020,Aug,"1,112","1,402,633",1.26,"330,279","612,263,182"
"Strawberries, import value and volume history by market year (Fresh)",2020,Sep,866,"1,215,394",1.40,"331,145","613,478,576"
"Strawberries, import value and volume history by market year (Fresh)",2020,Oct,"10,820","23,455,561",2.17,"341,964","636,934,137"
"Strawberries, import value and volume history by market year (Fresh)",2020,Nov,"33,355","74,668,405",2.24,"375,320","711,602,542"
"Strawberries, import value and volume history by market year (Fresh)",2020,Dec,"60,032","118,389,044",1.97,"435,351","829,991,586"
"Strawberries, import value and volume history by market year (Fresh)",2019,Jan,"75,181","171,341,908",2.28,"75,181","171,341,908"
"Strawberries, import value and volume history by market year (Fresh)",2019,Feb,"84,134","207,688,202",2.47,"159,315","379,030,110"
"Strawberries, import value and volume history by market year (Fresh)",2019,Mar,"79,034","172,595,601",2.18,"238,349","551,625,711"
"Strawberries, import value and volume history by market year (Fresh)",2019,Apr,"54,791","86,912,411",1.59,"293,140","638,538,122"
"Strawberries, import value and volume history by market year (Fresh)",2019,May,"19,852","18,739,640",0.94,"312,992","657,277,762"
"Strawberries, import value and volume history by market year (Fresh)",2019,Jun,"19,592","15,583,004",0.80,"332,584","672,860,766"
"Strawberries, import value and volume history by market year (Fresh)",2019,Jul,"6,406","6,221,530",0.97,"338,989","679,082,296"
"Strawberries, import value and volume history by market year (Fresh)",2019,Aug,723,"1,126,417",1.56,"339,712","680,208,713"
"Strawberries, import value and volume history by market year (Fresh)",2019,Sep,"1,015","1,590,040",1.57,"340,727","681,798,753"
"Strawberries, import value and volume history by market year (Fresh)",2019,Oct,"5,074","13,578,448",2.68,"345,801","695,377,201"
"Strawberries, import value and volume history by market year (Fresh)",2019,Nov,"18,327","46,415,468",2.53,"364,128","741,792,669"
"Strawberries, import value and volume history by market year (Fresh)",2019,Dec,"46,980","109,284,814",2.33,"411,108","851,077,483"
"Strawberries, import value and volume history by market year (Fresh)",2018,Jan,"77,165","148,238,066",1.92,"77,165","148,238,066"
"Strawberries, import value and volume history by market year (Fresh)",2018,Feb,"72,313","149,048,266",2.06,"149,478","297,286,332"
"Strawberries, import value and volume history by market year (Fresh)",2018,Mar,"68,704","107,000,179",1.56,"218,182","404,286,511"
"Strawberries, import value and volume history by market year (Fresh)",2018,Apr,"41,298","45,237,228",1.10,"259,480","449,523,739"
"Strawberries, import value and volume history by market year (Fresh)",2018,May,"20,510","16,030,859",0.78,"279,990","465,554,598"
"Strawberries, import value and volume history by market year (Fresh)",2018,Jun,"17,845","10,838,888",0.61,"297,835","476,393,486"
"Strawberries, import value and volume history by market year (Fresh)",2018,Jul,"4,714","3,567,156",0.76,"302,549","479,960,642"
"Strawberries, import value and volume history by market year (Fresh)",2018,Aug,449,"716,577",1.59,"302,998","480,677,219"
"Strawberries, import value and volume history by market year (Fresh)",2018,Sep,302,"475,290",1.57,"303,300","481,152,509"
"Strawberries, import value and volume history by market year (Fresh)",2018,Oct,"3,484","6,748,136",1.94,"306,784","487,900,645"
"Strawberries, import value and volume history by market year (Fresh)",2018,Nov,"13,815","27,126,014",1.96,"320,599","515,026,659"
"Strawberries, import value and volume history by market year (Fresh)",2018,Dec,"36,299","76,704,195",2.11,"356,897","591,730,854"
"Strawberries, import value and volume history by market year (Fresh)",2017,Jan,"80,963","137,597,665",1.70,"80,963","137,597,665"
"Strawberries, import value and volume history by market year (Fresh)",2017,Feb,"77,958","138,124,535",1.77,"158,920","275,722,200"
"Strawberries, import value and volume history by market year (Fresh)",2017,Mar,"69,949","125,218,579",1.79,"228,869","400,940,779"
"Strawberries, import value and volume history by market year (Fresh)",2017,Apr,"34,963","45,987,133",1.32,"263,832","446,927,912"
"Strawberries, import value and volume history by market year (Fresh)",2017,May,"19,543","15,290,004",0.78,"283,375","462,217,916"
"Strawberries, import value and volume history by market year (Fresh)",2017,Jun,"15,090","9,068,322",0.60,"298,465","471,286,238"
"Strawberries, import value and volume history by market year (Fresh)",2017,Jul,"1,027","901,162",0.88,"299,492","472,187,400"
"Strawberries, import value and volume history by market year (Fresh)",2017,Aug,308,"581,721",1.89,"299,800","472,769,121"
"Strawberries, import value and volume history by market year (Fresh)",2017,Sep,379,"595,437",1.57,"300,178","473,364,558"
"Strawberries, import value and volume history by market year (Fresh)",2017,Oct,"4,327","12,287,062",2.84,"304,506","485,651,620"
"Strawberries, import value and volume history by market year (Fresh)",2017,Nov,"20,530","44,941,788",2.19,"325,035","530,593,408"
"Strawberries, import value and volume history by market year (Fresh)",2017,Dec,"42,202","95,115,162",2.25,"367,238","625,708,570"
"Strawberries, import value and volume history by market year (Fresh)",2016,Jan,"60,904","104,643,140",1.72,"60,904","104,643,140"
"Strawberries, import value and volume history by market year (Fresh)",2016,Feb,"69,757","121,588,850",1.74,"130,661","226,231,990"
"Strawberries, import value and volume history by market year (Fresh)",2016,Mar,"69,138","95,638,565",1.38,"199,799","321,870,555"
"Strawberries, import value and volume history by market year (Fresh)",2016,Apr,"38,684","30,640,561",0.79,"238,484","352,511,116"
"Strawberries, import value and volume history by market year (Fresh)",2016,May,"24,565","16,635,602",0.68,"263,048","369,146,718"
"Strawberries, import value and volume history by market year (Fresh)",2016,Jun,"30,508","15,623,233",0.51,"293,557","384,769,951"
"Strawberries, import value and volume history by market year (Fresh)",2016,Jul,"3,254","1,728,051",0.53,"296,811","386,498,002"
"Strawberries, import value and volume history by market year (Fresh)",2016,Aug,389,"637,515",1.64,"297,200","387,135,517"
"Strawberries, import value and volume history by market year (Fresh)",2016,Sep,360,"488,759",1.36,"297,559","387,624,276"
"Strawberries, import value and volume history by market year (Fresh)",2016,Oct,"4,587","8,861,402",1.93,"302,146","396,485,678"
"Strawberries, import value and volume history by market year (Fresh)",2016,Nov,"20,555","50,322,553",2.45,"322,701","446,808,231"
"Strawberries, import value and volume history by market year (Fresh)",2016,Dec,"41,787","87,215,476",2.09,"364,487","534,023,707"
"Strawberries, import value and volume history by market year (Fresh)",2015,Jan,"64,418","88,814,726",1.38,"64,418","88,814,726"
"Strawberries, import value and volume history by market year (Fresh)",2015,Feb,"61,541","82,610,776",1.34,"125,959","171,425,502"
"Strawberries, import value and volume history by market year (Fresh)",2015,Mar,"54,376","53,615,563",0.99,"180,335","225,041,065"
"Strawberries, import value and volume history by market year (Fresh)",2015,Apr,"33,427","23,457,057",0.70,"213,762","248,498,122"
"Strawberries, import value and volume history by market year (Fresh)",2015,May,"20,343","11,036,721",0.54,"234,105","259,534,843"
"Strawberries, import value and volume history by market year (Fresh)",2015,Jun,"17,754","8,249,778",0.46,"251,859","267,784,621"
"Strawberries, import value and volume history by market year (Fresh)",2015,Jul,"2,022","977,920",0.48,"253,881","268,762,541"
"Strawberries, import value and volume history by market year (Fresh)",2015,Aug,637,"613,228",0.96,"254,517","269,375,769"
"Strawberries, import value and volume history by market year (Fresh)",2015,Sep,551,"390,596",0.71,"255,069","269,766,365"
"Strawberries, import value and volume history by market year (Fresh)",2015,Oct,"4,430","10,446,052",2.36,"259,499","280,212,417"
"Strawberries, import value and volume history by market year (Fresh)",2015,Nov,"18,635","44,932,900",2.41,"278,133","325,145,317"
"Strawberries, import value and volume history by market year (Fresh)",2015,Dec,"36,232","65,073,463",1.80,"314,365","390,218,780"
"Strawberries, import value and volume history by market year (Fresh)",2014,Jan,"56,041","71,212,488",1.27,"56,041","71,212,488"
"Strawberries, import value and volume history by market year (Fresh)",2014,Feb,"70,595","85,451,174",1.21,"126,636","156,663,662"
"Strawberries, import value and volume history by market year (Fresh)",2014,Mar,"71,089","69,456,323",0.98,"197,725","226,119,985"
"Strawberries, import value and volume history by market year (Fresh)",2014,Apr,"50,786","33,823,747",0.67,"248,511","259,943,732"
"Strawberries, import value and volume history by market year (Fresh)",2014,May,"27,354","12,716,907",0.46,"275,866","272,660,639"
"Strawberries, import value and volume history by market year (Fresh)",2014,Jun,"22,237","7,662,370",0.34,"298,103","280,323,009"
"Strawberries, import value and volume history by market year (Fresh)",2014,Jul,"3,599","1,552,836",0.43,"301,702","281,875,845"
"Strawberries, import value and volume history by market year (Fresh)",2014,Aug,205,"337,002",1.65,"301,907","282,212,847"
"Strawberries, import value and volume history by market year (Fresh)",2014,Sep,162,"246,954",1.53,"302,068","282,459,801"
"Strawberries, import value and volume history by market year (Fresh)",2014,Oct,"3,859","6,659,858",1.73,"305,928","289,119,659"
"Strawberries, import value and volume history by market year (Fresh)",2014,Nov,"15,657","25,952,899",1.66,"321,584","315,072,558"
"Strawberries, import value and volume history by market year (Fresh)",2014,Dec,"34,385","59,844,428",1.74,"355,969","374,916,986"
"Strawberries, import value and volume history by market year (Fresh)",2013,Jan,"53,195","68,993,400",1.30,"53,195","68,993,400"
"Strawberries, import value and volume history by market year (Fresh)",2013,Feb,"47,754","45,003,379",0.94,"100,949","113,996,779"
"Strawberries, import value and volume history by market year (Fresh)",2013,Mar,"61,901","60,514,489",0.98,"162,850","174,511,268"
"Strawberries, import value and volume history by market year (Fresh)",2013,Apr,"67,447","48,768,020",0.72,"230,297","223,279,288"
"Strawberries, import value and volume history by market year (Fresh)",2013,May,"27,408","12,409,795",0.45,"257,704","235,689,083"
"Strawberries, import value and volume history by market year (Fresh)",2013,Jun,"18,181","6,626,704",0.36,"275,885","242,315,787"
"Strawberries, import value and volume history by market year (Fresh)",2013,Jul,"8,122","3,375,936",0.42,"284,007","245,691,723"
"Strawberries, import value and volume history by market year (Fresh)",2013,Aug,163,"409,508",2.51,"284,170","246,101,231"
"Strawberries, import value and volume history by market year (Fresh)",2013,Sep,108,"256,550",2.37,"284,278","246,357,781"
"Strawberries, import value and volume history by market year (Fresh)",2013,Oct,"4,019","7,425,127",1.85,"288,297","253,782,908"
"Strawberries, import value and volume history by market year (Fresh)",2013,Nov,"14,453","23,605,753",1.63,"302,750","277,388,661"
"Strawberries, import value and volume history by market year (Fresh)",2013,Dec,"27,820","41,736,574",1.50,"330,571","319,125,235"
"Strawberries, import value and volume history by market year (Fresh)",2012,Jan,"46,347","58,099,595",1.25,"46,347","58,099,595"
"Strawberries, import value and volume history by market year (Fresh)",2012,Feb,"47,541","56,860,388",1.20,"93,888","114,959,983"
"Strawberries, import value and volume history by market year (Fresh)",2012,Mar,"65,032","65,975,445",1.01,"158,920","180,935,428"
"Strawberries, import value and volume history by market year (Fresh)",2012,Apr,"70,059","62,791,121",0.90,"228,978","243,726,549"
"Strawberries, import value and volume history by market year (Fresh)",2012,May,"40,551","22,141,982",0.55,"269,530","265,868,531"
"Strawberries, import value and volume history by market year (Fresh)",2012,Jun,"25,581","8,496,382",0.33,"295,111","274,364,913"
"Strawberries, import value and volume history by market year (Fresh)",2012,Jul,"8,900","3,060,799",0.34,"304,011","277,425,712"
"Strawberries, import value and volume history by market year (Fresh)",2012,Aug,317,"523,352",1.65,"304,328","277,949,064"
"Strawberries, import value and volume history by market year (Fresh)",2012,Sep,181,"377,439",2.09,"304,509","278,326,503"
"Strawberries, import value and volume history by market year (Fresh)",2012,Oct,"6,832","12,164,409",1.78,"311,341","290,490,912"
"Strawberries, import value and volume history by market year (Fresh)",2012,Nov,"12,854","19,759,282",1.54,"324,195","310,250,194"
"Strawberries, import value and volume history by market year (Fresh)",2012,Dec,"27,070","39,978,207",1.48,"351,266","350,228,401"
"Strawberries, import value and volume history by market year (Fresh)",2011,Jan,"31,301","45,237,732",1.45,"31,301","45,237,732"
"Strawberries, import value and volume history by market year (Fresh)",2011,Feb,"36,914","44,587,131",1.21,"68,215","89,824,863"
"Strawberries, import value and volume history by market year (Fresh)",2011,Mar,"40,005","31,614,313",0.79,"108,219","121,439,176"
"Strawberries, import value and volume history by market year (Fresh)",2011,Apr,"52,546","32,650,234",0.62,"160,765","154,089,410"
"Strawberries, import value and volume history by market year (Fresh)",2011,May,"22,204","9,414,601",0.42,"182,969","163,504,011"
"Strawberries, import value and volume history by market year (Fresh)",2011,Jun,"12,118","3,531,845",0.29,"195,087","167,035,856"
"Strawberries, import value and volume history by market year (Fresh)",2011,Jul,"8,016","2,599,909",0.32,"203,103","169,635,765"
"Strawberries, import value and volume history by market year (Fresh)",2011,Aug,146,"341,057",2.33,"203,249","169,976,822"
"Strawberries, import value and volume history by market year (Fresh)",2011,Sep,129,"286,602",2.23,"203,378","170,263,424"
"Strawberries, import value and volume history by market year (Fresh)",2011,Oct,"4,189","7,908,164",1.89,"207,567","178,171,588"
"Strawberries, import value and volume history by market year (Fresh)",2011,Nov,"14,753","25,295,988",1.71,"222,320","203,467,576"
"Strawberries, import value and volume history by market year (Fresh)",2011,Dec,"21,197","32,506,081",1.53,"243,517","235,973,657"
"Strawberries, import value and volume history by market year (Fresh)",2010,Jan,"29,788","43,809,354",1.47,"29,788","43,809,354"
"Strawberries, import value and volume history by market year (Fresh)",2010,Feb,"33,969","48,286,391",1.42,"63,757","92,095,745"
"Strawberries, import value and volume history by market year (Fresh)",2010,Mar,"41,359","46,600,070",1.13,"105,116","138,695,815"
"Strawberries, import value and volume history by market year (Fresh)",2010,Apr,"36,591","24,566,269",0.67,"141,708","163,262,084"
"Strawberries, import value and volume history by market year (Fresh)",2010,May,"16,815","9,284,416",0.55,"158,522","172,546,500"
"Strawberries, import value and volume history by market year (Fresh)",2010,Jun,"13,047","4,228,158",0.32,"171,569","176,774,658"
"Strawberries, import value and volume history by market year (Fresh)",2010,Jul,"2,435","1,092,869",0.45,"174,004","177,867,527"
"Strawberries, import value and volume history by market year (Fresh)",2010,Aug,249,"468,786",1.88,"174,253","178,336,313"
"Strawberries, import value and volume history by market year (Fresh)",2010,Sep,129,"246,520",1.92,"174,382","178,582,833"
"Strawberries, import value and volume history by market year (Fresh)",2010,Oct,"1,459","2,732,659",1.87,"175,841","181,315,492"
"Strawberries, import value and volume history by market year (Fresh)",2010,Nov,"9,376","16,248,507",1.73,"185,217","197,563,999"
"Strawberries, import value and volume history by market year (Fresh)",2010,Dec,"13,100","21,697,880",1.66,"198,317","219,261,879"
"Strawberries, import value and volume history by market year (Fresh)",2009,Jan,"27,749","34,334,994",1.24,"27,749","34,334,994"
"Strawberries, import value and volume history by market year (Fresh)",2009,Feb,"25,525","28,340,521",1.11,"53,273","62,675,515"
"Strawberries, import value and volume history by market year (Fresh)",2009,Mar,"31,086","22,522,868",0.72,"84,360","85,198,383"
"Strawberries, import value and volume history by market year (Fresh)",2009,Apr,"43,810","20,089,664",0.46,"128,170","105,288,047"
"Strawberries, import value and volume history by market year (Fresh)",2009,May,"23,133","8,384,266",0.36,"151,303","113,672,313"
"Strawberries, import value and volume history by market year (Fresh)",2009,Jun,"10,402","3,075,953",0.30,"161,705","116,748,266"
"Strawberries, import value and volume history by market year (Fresh)",2009,Jul,"2,366","1,019,641",0.43,"164,071","117,767,907"
"Strawberries, import value and volume history by market year (Fresh)",2009,Aug,298,"284,404",0.96,"164,369","118,052,311"
"Strawberries, import value and volume history by market year (Fresh)",2009,Sep,170,"190,613",1.12,"164,539","118,242,924"
"Strawberries, import value and volume history by market year (Fresh)",2009,Oct,"1,746","3,101,171",1.78,"166,285","121,344,095"
"Strawberries, import value and volume history by market year (Fresh)",2009,Nov,"7,580","12,429,805",1.64,"173,865","133,773,900"
"Strawberries, import value and volume history by market year (Fresh)",2009,Dec,"13,285","19,312,661",1.45,"187,151","153,086,561"
"Strawberries, import value and volume history by market year (Fresh)",2008,Jan,"16,119","19,689,640",1.22,"16,119","19,689,640"
"Strawberries, import value and volume history by market year (Fresh)",2008,Feb,"17,894","22,221,971",1.24,"34,013","41,911,611"
"Strawberries, import value and volume history by market year (Fresh)",2008,Mar,"29,600","21,525,443",0.73,"63,613","63,437,054"
"Strawberries, import value and volume history by market year (Fresh)",2008,Apr,"33,320","15,810,643",0.47,"96,932","79,247,697"
"Strawberries, import value and volume history by market year (Fresh)",2008,May,"15,937","6,544,123",0.41,"112,870","85,791,820"
"Strawberries, import value and volume history by market year (Fresh)",2008,Jun,"8,519","2,870,658",0.34,"121,388","88,662,478"
"Strawberries, import value and volume history by market year (Fresh)",2008,Jul,"2,046","978,487",0.48,"123,435","89,640,965"
"Strawberries, import value and volume history by market year (Fresh)",2008,Aug,99,"143,333",1.44,"123,534","89,784,298"
"Strawberries, import value and volume history by market year (Fresh)",2008,Sep,154,"197,832",1.29,"123,688","89,982,130"
"Strawberries, import value and volume history by market year (Fresh)",2008,Oct,"1,682","2,732,350",1.62,"125,370","92,714,480"
"Strawberries, import value and volume history by market year (Fresh)",2008,Nov,"5,529","8,894,695",1.61,"130,899","101,609,175"
"Strawberries, import value and volume history by market year (Fresh)",2008,Dec,"12,107","16,563,662",1.37,"143,007","118,172,837"
"Strawberries, import value and volume history by market year (Fresh)",2007,Jan,"15,067","22,989,075",1.53,"15,067","22,989,075"
"Strawberries, import value and volume history by market year (Fresh)",2007,Feb,"15,310","24,184,537",1.58,"30,377","47,173,612"
"Strawberries, import value and volume history by market year (Fresh)",2007,Mar,"25,959","24,262,776",0.93,"56,335","71,436,388"
"Strawberries, import value and volume history by market year (Fresh)",2007,Apr,"44,131","22,540,461",0.51,"100,466","93,976,849"
"Strawberries, import value and volume history by market year (Fresh)",2007,May,"16,821","7,099,919",0.42,"117,287","101,076,768"
"Strawberries, import value and volume history by market year (Fresh)",2007,Jun,"17,999","5,736,570",0.32,"135,286","106,813,338"
"Strawberries, import value and volume history by market year (Fresh)",2007,Jul,"8,133","3,120,514",0.38,"143,419","109,933,852"
"Strawberries, import value and volume history by market year (Fresh)",2007,Aug,318,"347,377",1.09,"143,737","110,281,229"
"Strawberries, import value and volume history by market year (Fresh)",2007,Sep,207,"264,945",1.28,"143,944","110,546,174"
"Strawberries, import value and volume history by market year (Fresh)",2007,Oct,"1,270","2,036,911",1.60,"145,215","112,583,085"
"Strawberries, import value and volume history by market year (Fresh)",2007,Nov,"4,082","6,736,013",1.65,"149,297","119,319,098"
"Strawberries, import value and volume history by market year (Fresh)",2007,Dec,"8,372","12,551,224",1.50,"157,669","131,870,322"
"Strawberries, import value and volume history by market year (Fresh)",2006,Jan,"13,778","17,974,890",1.30,"13,778","17,974,890"
"Strawberries, import value and volume history by market year (Fresh)",2006,Feb,"14,683","18,238,247",1.24,"28,461","36,213,137"
"Strawberries, import value and volume history by market year (Fresh)",2006,Mar,"24,252","25,058,641",1.03,"52,713","61,271,778"
"Strawberries, import value and volume history by market year (Fresh)",2006,Apr,"41,384","32,591,779",0.79,"94,097","93,863,557"
"Strawberries, import value and volume history by market year (Fresh)",2006,May,"21,890","9,102,510",0.42,"115,987","102,966,067"
"Strawberries, import value and volume history by market year (Fresh)",2006,Jun,"17,721","5,499,095",0.31,"133,708","108,465,162"
"Strawberries, import value and volume history by market year (Fresh)",2006,Jul,"6,786","2,654,349",0.39,"140,494","111,119,511"
"Strawberries, import value and volume history by market year (Fresh)",2006,Aug,366,"302,475",0.83,"140,860","111,421,986"
"Strawberries, import value and volume history by market year (Fresh)",2006,Sep,294,"333,889",1.14,"141,154","111,755,875"
"Strawberries, import value and volume history by market year (Fresh)",2006,Oct,"1,894","2,469,843",1.30,"143,048","114,225,718"
"Strawberries, import value and volume history by market year (Fresh)",2006,Nov,"3,511","5,299,900",1.51,"146,559","119,525,618"
"Strawberries, import value and volume history by market year (Fresh)",2006,Dec,"6,865","10,859,180",1.58,"153,423","130,384,798"
"Strawberries, import value and volume history by market year (Fresh)",2005,Jan,"12,247","14,767,119",1.21,"12,247","14,767,119"
"Strawberries, import value and volume history by market year (Fresh)",2005,Feb,"13,081","14,551,596",1.11,"25,328","29,318,715"
"Strawberries, import value and volume history by market year (Fresh)",2005,Mar,"30,844","27,381,911",0.89,"56,171","56,700,626"
"Strawberries, import value and volume history by market year (Fresh)",2005,Apr,"23,863","12,404,236",0.52,"80,034","69,104,862"
"Strawberries, import value and volume history by market year (Fresh)",2005,May,"14,294","4,903,246",0.34,"94,328","74,008,108"
"Strawberries, import value and volume history by market year (Fresh)",2005,Jun,"13,757","3,693,682",0.27,"108,086","77,701,790"
"Strawberries, import value and volume history by market year (Fresh)",2005,Jul,"4,156","1,196,394",0.29,"112,241","78,898,184"
"Strawberries, import value and volume history by market year (Fresh)",2005,Aug,109,"183,487",1.68,"112,350","79,081,671"
"Strawberries, import value and volume history by market year (Fresh)",2005,Sep,116,"131,227",1.13,"112,466","79,212,898"
"Strawberries, import value and volume history by market year (Fresh)",2005,Oct,"1,166","1,090,712",0.94,"113,632","80,303,610"
"Strawberries, import value and volume history by market year (Fresh)",2005,Nov,"3,658","4,021,661",1.10,"117,291","84,325,271"
"Strawberries, import value and volume history by market year (Fresh)",2005,Dec,"5,422","7,659,703",1.41,"122,712","91,984,974"
"Strawberries, import value and volume history by market year (Fresh)",2004,Jan,"8,732","7,198,378",0.82,"8,732","7,198,378"
"Strawberries, import value and volume history by market year (Fresh)",2004,Feb,"14,786","15,341,603",1.04,"23,518","22,539,981"
"Strawberries, import value and volume history by market year (Fresh)",2004,Mar,"25,606","20,302,527",0.79,"49,125","42,842,508"
"Strawberries, import value and volume history by market year (Fresh)",2004,Apr,"20,602","11,680,523",0.57,"69,727","54,523,031"
"Strawberries, import value and volume history by market year (Fresh)",2004,May,"7,454","2,210,186",0.30,"77,181","56,733,217"
"Strawberries, import value and volume history by market year (Fresh)",2004,Jun,"6,462","1,926,442",0.30,"83,643","58,659,659"
"Strawberries, import value and volume history by market year (Fresh)",2004,Jul,"2,337","805,135",0.34,"85,980","59,464,794"
"Strawberries, import value and volume history by market year (Fresh)",2004,Aug,148,"217,219",1.47,"86,128","59,682,013"
"Strawberries, import value and volume history by market year (Fresh)",2004,Sep,88,"112,029",1.28,"86,216","59,794,042"
"Strawberries, import value and volume history by market year (Fresh)",2004,Oct,959,"1,319,795",1.38,"87,174","61,113,837"
"Strawberries, import value and volume history by market year (Fresh)",2004,Nov,"2,953","5,394,769",1.83,"90,128","66,508,606"
"Strawberries, import value and volume history by market year (Fresh)",2004,Dec,"4,247","5,153,598",1.21,"94,375","71,662,204"
"Strawberries, import value and volume history by market year (Fresh)",2003,Jan,"9,328","7,376,380",0.79,"9,328","7,376,380"
"Strawberries, import value and volume history by market year (Fresh)",2003,Feb,"11,365","9,574,428",0.84,"20,693","16,950,808"
"Strawberries, import value and volume history by market year (Fresh)",2003,Mar,"18,116","12,948,574",0.71,"38,809","29,899,382"
"Strawberries, import value and volume history by market year (Fresh)",2003,Apr,"19,212","9,903,306",0.52,"58,020","39,802,688"
"Strawberries, import value and volume history by market year (Fresh)",2003,May,"9,478","3,417,901",0.36,"67,498","43,220,589"
"Strawberries, import value and volume history by market year (Fresh)",2003,Jun,"10,282","2,980,158",0.29,"77,780","46,200,747"
"Strawberries, import value and volume history by market year (Fresh)",2003,Jul,"5,083","1,454,624",0.29,"82,863","47,655,371"
"Strawberries, import value and volume history by market year (Fresh)",2003,Aug,270,"164,532",0.61,"83,133","47,819,903"
"Strawberries, import value and volume history by market year (Fresh)",2003,Sep,74,"113,543",1.54,"83,207","47,933,446"
"Strawberries, import value and volume history by market year (Fresh)",2003,Oct,490,"504,644",1.03,"83,696","48,438,090"
"Strawberries, import value and volume history by market year (Fresh)",2003,Nov,"2,801","4,078,722",1.46,"86,497","52,516,812"
"Strawberries, import value and volume history by market year (Fresh)",2003,Dec,"3,841","4,469,383",1.16,"90,339","56,986,195"
"Strawberries, import value and volume history by market year (Fresh)",2002,Jan,"9,547","6,973,463",0.73,"9,547","6,973,463"
"Strawberries, import value and volume history by market year (Fresh)",2002,Feb,"10,441","8,298,897",0.79,"19,989","15,272,360"
"Strawberries, import value and volume history by market year (Fresh)",2002,Mar,"18,069","14,194,214",0.79,"38,058","29,466,574"
"Strawberries, import value and volume history by market year (Fresh)",2002,Apr,"22,212","14,032,271",0.63,"60,270","43,498,845"
"Strawberries, import value and volume history by market year (Fresh)",2002,May,"12,011","5,537,019",0.46,"72,281","49,035,864"
"Strawberries, import value and volume history by market year (Fresh)",2002,Jun,"9,831","3,647,372",0.37,"82,112","52,683,236"
"Strawberries, import value and volume history by market year (Fresh)",2002,Jul,"2,456","453,117",0.18,"84,568","53,136,353"
"Strawberries, import value and volume history by market year (Fresh)",2002,Aug,219,"114,763",0.52,"84,787","53,251,116"
